logid,runid,dataset,num_neurons,num_epochs,learning_rate,loss_coefficient,batch_size,batch_dur_idx,batch_range_idx,lambda,rel_tol,abs_tol,val_freq,mert_batch,loss_function,regularization,optimizer,Frechet_distance,inference_time,training_time
142,72,3,50,20,0.01,1,50,20,500,0.005,1e-07,1e-09,5,False,MSELoss(),,Adam,42.4203317694022,0.0417972924187779,0.4824917470104992
143,72,3,50,20,0.01,1,50,20,500,0.005,1e-07,1e-09,5,False,MSELoss(),,Adam,26.32499097314428,0.0502931252121925,0.955831038299948
144,73,1,50,20,0.01,1,50,20,500,0.005,1e-07,1e-09,5,False,MSELoss(),,Adam,17.676960035154575,0.0445454171858727,0.4720637514255941
145,73,1,50,20,0.01,1,50,20,500,0.005,1e-07,1e-09,5,False,MSELoss(),,Adam,34.48112431843758,0.0495564579032361,0.9509324189275504
146,74,2,50,20,0.01,1,50,20,500,0.005,1e-07,1e-09,5,False,MSELoss(),,Adam,30.271164668626223,0.0481169577687978,0.504980041179806
147,74,2,50,20,0.01,1,50,20,500,0.005,1e-07,1e-09,5,False,MSELoss(),,Adam,55.46674779388095,0.0492929997853934,1.0069693736732006
148,75,3,50,20,0.01,1,50,20,500,0.005,1e-07,1e-09,5,False,MSELoss(),,Adam,68.29005742897752,0.0464251670055091,0.4649855433963239
149,75,3,50,20,0.01,1,50,20,500,0.005,1e-07,1e-09,5,False,MSELoss(),,Adam,21.79234689076665,0.0497089168056845,0.9345813766121864
150,76,1,50,20,0.01,1,50,20,500,0.005,1e-07,1e-09,5,False,MSELoss(),,Adam,61.33148572386902,0.0502523751929402,0.5568578345701098
151,76,1,50,20,0.01,1,50,20,500,0.005,1e-07,1e-09,5,False,MSELoss(),,Adam,25.30173510276665,0.0499262502416968,1.0676241256296637
152,77,2,50,20,0.01,1,50,20,500,0.005,1e-07,1e-09,5,False,MSELoss(),,Adam,41.814017032090895,0.0456831250339746,0.5003931671380997
153,77,2,50,20,0.01,1,50,20,500,0.005,1e-07,1e-09,5,False,MSELoss(),,Adam,18.61886666321816,0.0456153750419616,0.9661207511089742
154,78,3,50,20,0.01,1,50,20,500,0.005,1e-07,1e-09,5,False,MSELoss(),,Adam,95.46190888577448,0.0475008748471736,0.4881552504375577
155,78,3,50,20,0.01,1,50,20,500,0.005,1e-07,1e-09,5,False,MSELoss(),,Adam,33.98738687152001,0.0513210003264248,0.9548438768833876
156,79,1,50,20,0.01,1,50,20,500,0.005,1e-07,1e-09,5,False,MSELoss(),,Adam,53.83478435576178,0.0427434579469263,0.476213333196938
